"","CR083Q01T","CR083Q02T","CR083Q03T","CR083Q04T","CR442Q02T","CR442Q03T","CR442Q05T","CR442Q06T","CR442Q07T","CR245Q01T","CR245Q02T","CR101Q01T","CR101Q02T","CR101Q03T","CR101Q04T","CR101Q05T"
"1",0.639633333333333,1.29896666666667,0.355183333333333,1.52833333333333,2.16665,1.26166666666667,1.84413333333333,2.82725,0.23775,2.2972,0.511266666666667,2.00198333333333,0.156,0.28405,0.25475,0.855533333333333
"2",0.228216666666667,0.5678,0.569416666666667,1.2412,1.41625,2.00403333333333,2.03223333333333,2.0302,0.6698,1.67233333333333,0.719033333333333,0.827683333333333,0.22355,0.0617,0.945016666666667,0.417516666666667
"3",0.25255,0.349633333333333,0.426,0.38765,4.62385,2.0161,1.0963,4.55153333333333,0.537733333333333,2.30641666666667,0.600766666666667,2.16695,0.134516666666667,0.405333333333333,0.16825,0.360333333333333
"4",0.28975,0.94775,0.5227,0.9118,6.01943333333333,3.03666666666667,3.48078333333333,3.75835,0.859416666666667,3.2731,1.09768333333333,0.523016666666667,0.25715,0.482233333333333,1.38345,0.521283333333333
"5",0.317566666666667,0.827033333333333,0.37335,0.9244,2.31848333333333,4.93575,1.37658333333333,4.1367,0.5879,0.0614166666666667,0.0829833333333333,1.60636666666667,0.1224,0.534916666666667,0.161483333333333,0.700516666666667
"6",0.701183333333333,0.672733333333333,0.949333333333333,1.2795,2.6264,1.64428333333333,1.94678333333333,4.29258333333333,0.28645,1.1179,1.0854,2.26133333333333,0.188933333333333,0.238583333333333,0.29895,0.516083333333333
"7",0.289816666666667,0.551416666666667,0.621233333333333,0.899133333333333,6.02931666666667,1.34425,0.558016666666667,2.35138333333333,0.1731,4.54505,12.0818166666667,0.463666666666667,0.119,0.3109,0.353383333333333,1.15833333333333
"8",0.558366666666667,0.9087,0.695633333333333,1.45738333333333,2.49626666666667,4.32733333333333,3.53955,2.23251666666667,1.60368333333333,1.21035,1.64725,0.902116666666667,1.63736666666667,0.737583333333333,1.4312,1.34631666666667
"9",1.0781,0.930216666666667,0.799666666666667,0.96235,6.52081666666667,0.685433333333333,0.86755,1.89643333333333,0.380566666666667,2.42651666666667,0.394216666666667,0.101216666666667,0.470116666666667,0.225516666666667,0.804333333333333,1.03186666666667
"10",0.186216666666667,0.681966666666667,0.27775,0.347516666666667,3.3553,0.9282,1.86125,2.40081666666667,0.30765,1.682,0.472633333333333,0.309566666666667,0.09915,0.3388,0.201133333333333,0.640666666666667
"11",1.40795,0.63145,0.377466666666667,0.797466666666667,2.6323,1.943,1.51915,4.74583333333333,0.209766666666667,0.104583333333333,0.17735,1.58253333333333,1.07948333333333,0.253066666666667,0.878366666666667,1.15271666666667
"12",0.0273,1.34166666666667,0.611683333333333,0.53855,3.86995,0.643016666666667,1.9444,2.44643333333333,0.2604,2.81465,0.362883333333333,0.224933333333333,0.243783333333333,0.334733333333333,1.21388333333333,0.647916666666667
